Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cyprus,,79.73274994,78.37996674,78.2754364,77.64427948,71.21884918,68.99791718,68.07942963,68.85246277,69.5732193,68.73445129,71.21460724,67.93724823,68.09789276,68.37381744,69.16519165,73.80319214,77.85594177,79.33486176,79.45967102,78.82102966,79.15245056,77.36126709,97.62944794,96.91663361,96.21299744,96.11727905,96.28476715,,97.99125671,98.06996918,97.53959656,98.50694275,98.63523865,98.76019287,99.66204071,99.52018738,99.34184265,98.96124268,99.14473724,99.28510284,99.28009033,98.17635345,97.49436951,97.13529205,97.82833862,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.818573,99.998909,99.94062805,99.77086639,99.55966949,99.8877182,99.8655014,99.77290344,99.92958832,99.73988342,99.67337799,99.68212891,99.67128754,99.56797028,99.81481934,99.83068848,99.81046295,,
Djibouti,,,,,,,,,,,,,,,,25.13891029,26.71035957,26.89378929,26.77046013,26.73386002,27.19718933,27.26189995,28.46113968,26.21071053,27.08583069,28.14266014,28.11271095,27.03737068,,26.85939026,27.03333092,29.71355057,31.35272026,,35.33031845,36.87810135,39.88964844,43.2804985,46.55939865,45.79309082,,54.01195145,,54.13158035,61.94356918,55.59273911,52.42190933,59.07278061
Denmark,,,,,,,,,,,,95.47402954,96.29634857,98.00093842,98.96527863,98.77725983,98.68261719,98.86003113,98.97547913,97.79876709,97.68508148,98.25418091,97.43151093,96.9600296,98.68842316,98.27815247,98.14875793,,99.44284058,97.9491272,98.10582733,99.84693146,99.86064911,,98.25845337,96.15496063,96.50241852,97.05003357,96.51035309,96.42951202,96.26952362,97.75173187,98.23880768,98.65074158,98.36505127,98.69377136,99.02089691,
Dominican Republic,,,74.27716064,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8949585,84.83396149,,90.57620239,87.53127289,82.48149872,84.1125412,82.57195282,88.71530151,85.16649628,94.94288635,92.15223694,91.22538757,89.3194809,88.10684967,85.79756165,88.74777222,87.76938629,
Algeria,,,,67.49807739,71.40164948,73.81181335,75.78453827,77.35260773,78.40789032,78.50411987,79.61673737,79.87956238,79.55007935,78.88215637,79.90032959,80.24539948,81.39682007,82.70111084,83.80078888,84.86515045,85.39041138,87.11221313,88.19908905,87.7100296,87.65254211,87.88282776,87.43859863,86.91522217,,89.72859955,90.52619171,92.64196014,93.90210724,94.42610931,95.17878723,95.47720337,95.67726135,95.87886047,97.22104645,98.96613312,98.88748169,99.05084991,99.11083221,,,99.26709747,99.2312088,
East Asia & Pacific,,,,,,,88.04528046,86.43750763,84.32694244,84.37431335,85.3446579,86.50530243,87.14849854,87.35694122,87.80742645,90.28153992,92.26271057,94.58325195,95.49993896,96.13575745,95.86168671,95.55860901,94.80097198,93.96433258,93.1064682,92.00089264,91.31176758,90.79241943,92.71370697,94.58563995,94.93369293,95.35373688,97.43074799,97.28443909,97.32518005,95.37689209,94.86575317,95.8660965,95.94307709,96.3134613,96.41029358,96.5736084,96.39349365,95.94667816,95.81642151,95.76448822,95.75389862,
Europe & Central Asia,,,93.51789856,93.20628357,93.24066162,93.34396362,93.61897278,93.66999817,93.79618835,93.96318817,93.92751312,93.38786316,93.40441132,93.15328217,93.75478363,93.76895905,94.33724213,94.69127655,95.17176819,95.0116272,95.0900116,95.46450043,95.21286774,94.97234344,94.82798767,94.50505829,94.29440308,93.27484894,95.28955078,96.19326019,95.94068909,96.19712067,96.51126099,97.22445679,97.06394958,96.48069,96.35333252,96.44847107,96.69378662,96.47663879,96.81880188,96.84314728,96.90161896,97.16361237,97.00537872,97.21990204,97.26908875,
Ecuador,,79.75784302,,80.44145203,81.42385864,80.8082428,81.27761078,84.41770172,86.30007935,89.46933746,88.07433319,,,,,,,,,,,,,,92.28862762,92.6522522,93.69230652,96.07215118,96.45955658,96.26129913,96.99479675,98.5683136,99.36753845,99.31123352,,99.37654877,99.45542908,99.36833954,,97.24019623,96.76557159,97.0184021,96.73625946,96.42388916,98.08397675,97.9647522,98.19262695,97.90290833
"Egypt, Arab Rep.",,63.73332977,64.11434174,63.93592072,,,,,65.56543732,,,,,,,,,,,,,,,,84.9343338,,,85.76127625,,83.92057037,86.05153656,87.52069855,88.9797287,90.75660706,92.96392822,93.54811096,91.71476746,97.15387726,,98.10735321,98.98313141,95.29924774,96.87068939,,96.71975708,,98.63899231,
