Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Fiji,59.857,60.207,60.546,60.873,61.191,61.5,61.803,62.102,62.397,62.689,62.978,63.262,63.54,63.811,64.074,64.329,64.577,64.818,65.054,65.284,65.51,65.731,65.948,66.161,66.37,66.575,66.777,66.976,67.172,67.365,67.553,67.734,67.91,68.079,68.243,68.405,68.569,68.737,68.909,69.087,69.267,69.448,69.625,69.796,69.96,70.117,70.269
France,71.65853659,71.90731707,72.10731707,72.35609756,72.60487805,72.85365854,73.10243902,73.35121951,73.60243902,73.85121951,74.05121951,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.34878049,76.6,76.84878049,77.1,77.3,77.64878049,77.75121951,77.95365854,78.30487805,78.60487805,78.75609756,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,82.27317073,82.27317073
United Kingdom,71.97317073,72.27317073,72.12439024,72.32439024,72.52439024,72.72439024,72.77560976,73.22439024,73.17560976,73.27560976,73.67560976,74.02682927,74.17804878,74.37804878,74.77804878,74.62926829,74.92926829,75.2804878,75.3804878,75.58292683,75.8804878,76.08292683,76.43414634,76.38536585,76.88536585,76.83658537,77.08780488,77.21097561,77.1902439,77.3902439,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,80.95609756
Guinea,36.656,36.933,37.255,37.623,38.039,38.498,38.993,39.517,40.068,40.65,41.279,41.977,42.753,43.607,44.522,45.482,46.463,47.434,48.359,49.208,49.949,50.557,51.032,51.381,51.61,51.717,51.701,51.592,51.434,51.273,51.181,51.229,51.451,51.859,52.444,53.17,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015
"Gambia, The",37.824,38.685,39.556,40.429,41.293,42.146,42.989,43.827,44.66,45.483,46.293,47.087,47.86,48.603,49.308,49.958,50.537,51.042,51.476,51.849,52.176,52.481,52.786,53.11,53.461,53.844,54.254,54.676,55.097,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193
Greece,70.90363415,71.22656098,71.535,71.81485366,72.06463415,72.29370732,72.51956098,72.76165854,73.03107317,73.32936585,73.64714634,73.9694878,74.279,74.56585366,74.82912195,75.0785122,75.32970732,75.59814634,75.8912439,76.68780488,76.93902439,77.13658537,77.38292683,77.3902439,77.63902439,77.58536585,77.68536585,78.13658537,77.83902439,77.98780488,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.03658537
Guatemala,52.501,53.091,53.652,54.181,54.676,55.14,55.577,56,56.418,56.84,57.272,57.719,58.183,58.661,59.154,59.661,60.176,60.694,61.214,61.735,62.261,62.799,63.352,63.921,64.502,65.09,65.678,66.257,66.817,67.351,67.849,68.304,68.717,69.092,69.437,69.763,70.085,70.415,70.76,71.122,71.494,71.867,72.227,72.562,72.869,73.15,73.409
"Hong Kong SAR, China",71.3865122,71.45853659,71.45609756,72.1097561,72.61219512,73.36829268,72.8195122,73.3195122,73.57560976,73.67317073,74.67317073,75.32439024,75.42926829,75.27560976,76.02926829,76.43414634,76.68536585,76.88292683,77.08292683,77.02926829,77.3804878,77.88292683,77.67804878,78.03170732,78.52926829,78.68292683,79.62682927,80.12682927,80.13170732,80.38292683,80.87804878,81.42439024,81.42682927,81.37804878,81.82926829,81.62926829,82.37560976,82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927
Indonesia,54.537,55.1,55.655,56.197,56.726,57.24,57.742,58.23,58.707,59.171,59.618,60.045,60.451,60.836,61.203,61.555,61.899,62.241,62.583,62.929,63.281,63.638,63.998,64.353,64.701,65.032,65.339,65.617,65.866,66.087,66.285,66.467,66.643,66.82,67.002,67.191,67.386,67.581,67.775,67.964,68.15,68.331,68.509,68.684,68.856,69.025,69.191
Ireland,71.03143902,71.12853659,71.2322439,71.34556098,71.47202439,71.61660976,71.78278049,71.969,72.17373171,72.39346341,72.6232439,72.85609756,73.08807317,73.31368293,73.53146341,73.74236585,73.95141463,74.16253659,74.37770732,74.59590244,74.80909756,75.00526829,75.18095122,75.33612195,75.47680488,75.61756098,75.83170732,75.98536585,76.1804878,76.08292683,76.53658537,77.13414634,77.63414634,78.13902439,78.53902439,78.94390244,79.24146341,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.84634146,81,81.34878049,81.45365854,81.60731707
"Iran, Islamic Rep.",50.856,51.662,52.561,53.514,54.463,55.265,55.744,55.826,55.513,54.88,54.111,53.452,53.128,53.293,53.995,55.213,56.846,58.683,60.528,62.275,63.828,65.131,66.209,67.094,67.791,68.326,68.741,69.092,69.428,69.775,70.144,70.526,70.899,71.249,71.582,71.912,72.259,72.635,73.044,73.481,73.932,74.375,74.787,75.153,75.466,75.73,75.953
Iraq,58.199,58.849,59.47,60.062,60.611,61.046,61.276,61.263,61.018,60.598,60.127,59.766,59.647,59.85,60.393,61.236,62.285,63.393,64.436,65.354,66.118,66.735,67.256,67.722,68.134,68.489,68.776,68.987,69.122,69.183,69.169,69.081,68.932,68.742,68.537,68.35,68.217,68.156,68.177,68.283,68.465,68.702,68.963,69.219,69.458,69.672,69.862
Italy,71.55878049,71.80682927,72.07536585,72.02634146,72.73439024,72.64731707,72.99195122,73.36463415,73.69317073,74.00268293,73.94317073,74.35390244,74.81463415,74.6402439,75.3895122,75.47073171,75.77073171,76.2195122,76.37073171,76.8195122,76.97073171,77.0195122,77.4195122,77.72195122,77.92195122,78.17073171,78.52195122,78.82439024,78.97560976,79.42439024,79.77804878,80.12682927,80.22926829,79.98292683,80.7804878,80.78292683,81.28292683,81.43414634,81.48536585,81.63658537,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244,82.54390244
Jamaica,68.324,68.609,68.907,69.219,69.546,69.885,70.235,70.583,70.919,71.231,71.509,71.739,71.92,72.052,72.135,72.175,72.179,72.16,72.129,72.096,72.065,72.039,72.015,71.996,71.986,71.99,72.011,72.052,72.116,72.205,72.327,72.487,72.683,72.911,73.167,73.446,73.739,74.038,74.334,74.619,74.883,75.122,75.334,75.523,75.689,75.836,75.97
Jordan,60.171,60.864,61.545,62.215,62.869,63.502,64.108,64.683,65.224,65.731,66.207,66.656,67.086,67.5,67.899,68.283,68.649,68.992,69.311,69.604,69.872,70.113,70.331,70.529,70.712,70.885,71.053,71.219,71.386,71.556,71.73,71.907,72.083,72.256,72.427,72.594,72.76,72.924,73.087,73.25,73.412,73.571,73.729,73.883,74.034,74.182,74.329
Japan,71.9502439,72.88292683,73.50658537,73.75756098,74.39390244,75.05731707,75.45682927,75.89829268,76.03829268,76.33756098,76.09170732,76.41439024,76.92292683,76.96146341,77.36536585,77.6504878,78.06463415,78.48365854,78.39926829,78.81804878,78.83682927,79.10073171,79.15390244,79.29365854,79.68707317,79.53634146,80.2002439,80.42414634,80.50146341,80.57073171,81.07609756,81.41707317,81.56341463,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805
